id;logradouro;este;norte;zona
HIDRANTE-092;LOTEAMENTO ESTRELA ALTA, ENTRE AS QUADRAS F e D ALAMEDA DO SOL (DUPLICADO);668851;7588282;23S
HIDRANTE-093;AVENIDA ITAMAR FRANCO 2476;669961;7591109;23S
HIDRANTE-094;RUA VITORINO BRAGA 253 COM AVENIDA GARIBALDI CAMPINHOS;671074;7593731;23S
HIDRANTE-095;RUA JULIO ALVES DE ASSIS COM RUA IPE;677911;7593793;23S
HIDRANTE-096;RUA SAMPAIO 202 COM RUA BATISTA DE OLIVEIRA;671099;7592118;23S
HIDRANTE-097;RUA SEBASTIÃO GARCIA 943;661793;7601195;23S
HIDRANTE-098;RUA AIRTON RIBEIRA DA FONSECA 29 COM RUA HAROLDO FURTADO VIDAL;670809;7587737;23S
HIDRANTE-099;RUA DOUTOR JOSÉ LANZIOTTI 290;669293;7588070;23S
HIDRANTE-100;RUA MARCIANO PINTO 670;669912;7587946;23S
HIDRANTE-101;RUA MARCIANO PINTO 1517;669407;7587137;23S
